"sku","storeid","cost","retail","sksinfo.zero"
4587540,2904,0.0,0.0,0
7289497,9503,10.0,20.0,0
2928011,3403,36.0,37.0,0
9727707,5503,9.5,8.99,0
7099376,2004,14.4,32.0,0
6500196,4403,23.46,69.0,0
1900904,4207,1.6,6.0,0
1348726,2907,14.5,29.0,1
6421715,3802,25.0,49.0,0
6918022,4403,22.5,11.25,0
5226419,407,12.75,20.0,0
4373979,5203,7.5,22.0,0
3640073,2207,33.0,84.0,0
3301807,7502,6.05,18.0,0
298396,2207,12.0,8.74,0
6617910,7407,15.85,27.5,0
2609898,4007,47.6,119.0,0
798294,3407,19.14,24.0,0
7481681,1004,6.75,28.0,0
3387341,3503,8.5,12.5,0
3377409,5602,37.5,39.75,0
5493132,9806,8.1,13.5,0
8516974,8602,2.85,3.0,0
5218533,709,31.5,69.0,1
5567401,6109,16.28,22.0,0
3516516,3302,225.0,595.0,0
6634770,5602,42.75,89.0,0
3072798,3007,6.75,7.0,0
7282422,7702,34.75,34.75,0
6357949,1203,17.38,19.75,0
6467100,2009,6.6,4.0,0
9808685,3309,13.18,27.0,0
3979716,7603,21.5,49.0,1
9830524,4303,13.8,32.0,0
1230502,7404,4.75,9.99,0
7930435,9103,18.25,36.5,0
7578608,1104,17.25,38.0,0
5114251,2407,2.35,3.0,0
9497524,4007,21.5,29.99,1
5729831,7703,21.05,49.5,0
3941467,4302,8.88,18.5,0
7268085,7703,47.74,31.5,0
8538949,3209,10.25,17.0,0
4410160,504,44.25,120.0,0
1519863,9204,11.75,39.0,0
3979744,2004,27.5,55.0,0
7488696,2102,27.5,59.0,1
6609343,3103,37.75,89.5,0
3348634,404,26.1,44.5,0
5216317,407,72.5,36.25,0
4290617,7007,16.5,59.5,0
8661333,6002,37.5,39.5,1
7558352,3807,8.5,12.0,0
4522535,5402,24.0,15.0,0
7798824,8302,39.75,72.36,0
2199808,904,39.0,89.0,1
9270329,7102,24.75,99.0,0
8446770,4903,19.27,12.25,0
3327348,7907,14.34,19.5,0
4418825,2707,54.75,99.16,0
1968519,7703,5.0,2.74,0
1168224,8309,3.48,3.75,0
7357114,9609,18.5,11.0,0
4220069,1509,13.69,36.0,0
3128888,4604,6.98,10.0,0
9777706,7403,18.0,35.0,1
2490329,1302,22.05,49.0,0
4291162,6202,17.63,49.0,0
2853439,4109,19.35,24.5,0
5176785,5302,50.0,39.75,0
409019,6302,10.5,14.5,0
9438005,5804,15.0,11.0,0
3799601,3707,40.0,39.75,0
6138630,9504,11.5,19.5,0
9850178,6904,15.0,40.0,0
5709704,5604,6.0,9.0,0
1480121,404,6.9,16.08,0
1358368,3107,32.5,49.99,0
2639340,3303,26.0,69.5,0
7881054,502,7.8,13.0,0
300241,4703,7.75,22.0,0
4063591,8603,5.4,15.0,0
5069915,603,31.57,79.0,0
4919034,1509,5.5,16.0,0
270548,3807,69.8,130.0,0
6028956,9002,17.55,39.0,0
7947310,4704,14.0,19.75,0
